id;proper;con;mag;dist;spect;ci;lum;x;y;z
78979;Kamuy;CrB;6.57;125.3133;K0III;1.037;32.210687912834345;-51.645678;-99.279411;56.389141
17457;Electra;Tau;3.72;124.0695;B6III;-0.105;435.7124805030843;62.965631;94.124106;50.687766
98508;Tianfu;Aql;5.51;141.6431;K0III;1.063;109.24460532267928;72.436519;-120.389654;17.943762
83290;Rapeto;Sco;7.39;49.5295;G2IV-V;0.565;2.3637416081162934;-8.640486;-34.989554;-33.974575
62239;Mimosa;Cru;1.25;85.3971;B0.5III;-0.238;2008.1678041839857;-42.168771;-8.909619;-73.723149
71634;Uridim;Lup;2.3;142.4501;B1.5III;-0.154;2124.222477388697;-73.354913;-62.611867;-104.837277
21368;Aldebaran;Tau;0.87;20.4332;K5III;1.538;163.23000728189953;7.02722;18.287604;5.806661
69451;Arcturus;Boo;-0.05;11.2575;K2IIIp;1.239;115.55799554021291;-8.823448;-5.932531;3.698938
97725;Alshain;Aql;3.71;13.6986;G8IVvar;0.855;5.360434578161428;6.563854;-11.925647;1.528534
44135;Ross 687;Hya;12.37;20.9424;M4;1.455;0.0043052661049171;-14.80023;14.692285;1.913156
37159;Jishui;Gem;4.89;50.9944;F3III;0.413;25.07263624777119;-17.604251;38.11415;28.945417
31812;Nosaxa;Pup;8.05;85.3971;G5IV/V;0.747;3.826484865951095;-9.824884;55.678794;-64.000065
88361;Alnasl;Sgr;2.98;29.7;K0III;0.981;49.38556196176077;0.648969;-25.602281;-15.040072
77214;Gudja;Ser;4.09;117.096;M1III;1.616;276.18494420752944;-60.303137;-93.518027;36.45959
7593;Nembus;And;3.59;54.3183;K3III;1.275;94.18895965228413;32.669331;14.886999;40.762548
63405;Vindemiatrix;Vir;2.85;33.6022;G8IIIvar;0.934;71.25248247522671;-31.782664;-8.840495;6.38806
42327;Gakyid;Cnc;8.23;81.0373;G5;0.962;2.918770848197142;-50.568104;60.659599;18.174814
40766;Piautos;Cnc;5.92;140.2525;B9.5V;-0.039;73.45138681571152;-73.723045;104.765465;57.095809
94186;Aladfar;Lyr;4.43;425.5319;B2.5IV;-0.15;2666.8586645214805;104.385585;-313.073293;268.637487
13176;Bharani;Ari;3.61;50.7872;B8Vn;-0.1;80.83510373900673;33.287607;30.498162;23.26243
111893;Babcock's star;Lac;8.83;100000.0;A0p;0.031;2558585.886905648;53443.383418;-18369.410721;82500.724352
30365;Canopus;Car;-0.62;94.7867;F0Ib;0.164;13854.791675667217;-5.992679;57.132034;-75.396105
59020;Alchiba;Crv;4.02;14.9365;F0IV/V;0.334;4.790711300030742;-13.557668;-0.497944;-6.248321
4453;Kui;And;4.4;70.4225;G8III-IV;0.94;75.09309424540648;62.61915;15.963361;27.988017
78804;Marsic;Her;5.0;112.7396;G8III;0.931;110.66237839776664;-50.571259;-95.186266;33.050231
101095;Aldulfin;Del;4.03;101.3171;B6III;-0.123;218.37353276021747;61.580495;-77.965441;19.858319
104861;Alderamin;Cep;2.45;15.0376;A7IV-V;0.257;20.62528697846573;5.276111;-4.483201;13.348778
5044;Nenque;Phe;7.72;41.3736;G3IV;0.613;1.217867384891259;30.667693;8.890809;-26.310407
88794;;Sgr;7.78;100000.0;F8Ib;1.23;6729766.562843182;4334.29908;-92459.308518;-37848.251213
92471;Ainalrami;Sgr;4.86;344.8276;K1II;1.412;1178.148406002925;74.467326;-309.170538;-133.319898
2076;Ankaa;Phe;2.4;25.974;K0III...;1.083;64.44659847416881;19.083654;2.198282;-17.483284
17537;Asterope;Tau;5.76;114.0251;B8V;-0.036;56.23413251903491;57.278032;86.462186;47.384166
6672;Ruchbah;Cas;2.66;30.4785;A5Vv SB;0.16;69.82324040771711;14.082378;5.53413;26.457567
71682;Xami;Cir;3.18;16.57;F1Vp;0.256;12.78792262935846;-5.319852;-4.563974;-15.014538
62757;Alioth;UMa;1.76;25.31;A0p;-0.022;110.2554332102224;-13.775959;-3.309169;20.972944
104652;;Cyg;9.58;100000.0;B8;0.134;1282330.582656023;51334.88489;-44677.141567;73271.294616
53879;Lalande 21185;UMa;7.49;2.5469;M2V;1.502;0.0057016427228074;-1.998;0.504305;1.495504
5725;Revati;Psc;5.21;53.3049;A7IV;0.32;20.398583002685616;50.128801;16.707567;7.027196
102157;Aljanah;Cyg;2.48;22.2916;K0III;1.021;44.09608164506378;12.262597;-13.834612;12.455654
24129;Kapteyn's Star;Pic;8.86;3.9114;M0V;1.543;0.0038089037649813;0.578997;2.705174;-2.76822
95652;Albireo B;Cyg;5.12;122.549;B8V;-0.095;117.16556739113024;41.751189;-99.862557;57.467608
21340;Theemin;Eri;3.81;65.5738;G8III;0.957;112.0985512875314;20.338212;52.67393;-33.342657
106972;Enif;Peg;2.38;211.4165;K2Ibvar;1.52;4349.106072324538;172.769915;-116.330918;36.25782
26662;Alnitak;Ori;1.74;225.7336;O9.5Ib SB;-0.199;8937.169608501978;18.918488;224.809409;-7.651875
79352;Yed Prior;Oph;2.73;52.4659;M1III;1.584;193.9099078614849;-23.290749;-46.890988;-3.380547
99743;Algedi;Cap;3.58;32.4465;G6/G8III;0.883;33.91563869058218;17.945333;-26.097385;-7.047505
86991;Fuyue;Sco;3.19;38.5802;K0/K1III;1.192;68.67521061488183;-1.362278;-30.763993;-23.24156
61748;Porrima;Vir;2.74;11.685;F0V+...;0.368;9.532350439205146;-11.488622;-2.111702;-0.295552
74732;Nikawiy;Boo;7.88;98.2318;G5;0.93;5.92106733564661;-47.33943;-55.9706;65.389271
33481;;Mon;7.2;100000.0;B0.5IV;-0.088;11481536.214968815;-25201.087507;96628.569147;-5274.927285
104442;Solaris;Peg;9.78;48.3559;K5;1.611;0.249344618809783;34.978517;-31.055419;12.26203
3759;96 G. Psc;Psc;5.74;7.4549;K2V;0.89;0.2447935666196065;7.258368;1.555495;0.686093
47645;Añañuca;Vel;10.22;9.8707;M1:;1.53;0.0069310654514993;-5.716082;3.837529;-7.073973
94081;Altais;Dra;3.07;29.8686;G9III;0.99;45.96211446660011;3.534238;-10.788301;27.627312
37159;Jishui;Gem;4.89;50.9944;F3III;0.413;25.07263624777119;-17.604251;38.11415;28.945417
28962;Elkurud;Col;5.0;221.2389;B8:IV;-0.095;426.1868054241604;-5.782732;176.005131;-133.923795
44689;Suhail;Vel;2.23;166.9449;K4Ib-II;1.665;3113.149665447025;-88.662596;82.682121;-114.774841
55011;Hunahpú;Crt;8.05;134.2282;K0III/IV;0.962;9.45366045957965;-120.572962;22.459787;-54.542905
106795;Azelfafage;Cyg;4.69;529.1005;B3IV;-0.119;3244.890156605363;273.366682;-187.713963;412.287993
78580;Acrab;Sco;2.56;123.9157;B0.5V;-0.065;1265.9017493002452;-55.881427;-102.320756;-41.98604
83638;Aldhibah;Dra;3.17;100.7049;B6III;-0.12;476.4309868054156;-9.178442;-40.388128;91.793254
77868;Iklil;Sco;3.87;144.7178;B2IV/V;-0.199;516.6542425669502;-64.636099;-108.519131;-70.633018
119058;Graffias;Sco;4.84;24.3309;F6 IV-V;0.45;5.975854297155728;-11.530023;-20.879358;-4.798287
20837;Ain;Tau;3.53;44.964;K0III;1.014;68.17105263058534;16.488448;39.136798;14.772771
15824;Mirfak;Per;1.79;155.2795;F5Ib;0.481;4040.173353730007;62.885098;77.880689;118.708804
80593;Ogma;Her;8.15;79.4281;G0;0.611;3.019951720402016;-23.714339;-57.602097;49.279323
113980;Safina;Aqr;3.68;82.9876;K1III;1.202;202.3019178678272;75.510914;-16.931759;-29.973162
65221;Matza;Cen;7.01;97.9432;A2V;0.093;13.121998990192028;-56.858287;-21.997276;-76.655891
116218;Udkadua;And;3.81;26.4061;G8III-IV;0.984;18.18025623774263;18.103691;-1.77795;19.141071
116361;Errai;Cep;3.21;14.1024;K1IV;1.031;9.003264310597224;3.008186;-0.271815;13.774751
85965;Sargas;Sco;1.86;92.081;F1II;0.406;1331.6803762699813;-6.654055;-67.016643;-62.796539
101442;Rotanev;Del;3.64;30.931;F5IV;0.425;29.16083798521233;18.994041;-23.134214;7.794139
94829;Belel;Sgr;7.55;110.6195;K0III;1.022;10.17653662620533;35.109071;-95.077194;-44.321033
10620;Deltoton;Tri;4.84;10.784;G0V;0.607;1.1738159324832202;7.36921;5.020051;6.065246
